entry_signal_date,entry_date,entry_price,exit_signal_date,exit_date,exit_price,return,exit_reason
2024-09-06,2024-09-06,540.36,2024-09-10,2024-09-10,548.79,0.0156007106373528,close>prev_high+wr>-30
2024-09-18,2024-09-18,561.4,2024-09-19,2024-09-19,569.23447,0.013955236907730706,close>prev_high
2024-10-31,2024-10-31,568.64,2024-11-05,2024-11-05,576.7,0.014174169949352944,close>prev_high+wr>-30
2024-12-12,2024-12-12,604.33,2024-12-16,2024-12-16,606.79,0.004070623665877848,wr>-30
2024-12-18,2024-12-18,586.28,2024-12-23,2024-12-23,594.69,0.014344681722044283,wr>-30
2025-02-07,2025-02-07,600.77,2025-02-11,2025-02-11,605.31,0.007556968557018484,wr>-30
2025-02-21,2025-02-21,599.94,2025-02-28,2025-02-28,594.18,-0.009600960096009747,wr>-30
2025-03-28,2025-03-28,555.66,2025-04-01,2025-04-01,560.97,0.009556203433754629,close>prev_high+wr>-30
2025-04-03,2025-04-03,536.7,2025-04-09,2025-04-09,548.62,0.022209800633500976,close>prev_high+wr>-30
2025-05-21,2025-05-21,582.86,2025-05-27,2025-05-27,591.15,0.014222969495247595,close>prev_high+wr>-30
2025-06-18,2025-06-18,595.67888,2025-06-23,2025-06-23,600.15,0.00750592332566824,close>prev_high+wr>-30
2025-07-15,2025-07-15,622.14,2025-07-17,2025-07-17,628.04,0.009483396020188328,close>prev_high+wr>-30
2025-10-10,2025-10-10,653.02,2025-10-14,2025-10-14,662.23,0.01410370279623896,wr>-30
2025-10-30,2025-10-30,679.83,2025-11-10,2025-11-10,681.44,0.002368239118603288,close>prev_high+wr>-30
2025-11-20,2025-11-20,652.53,2025-11-24,2025-11-24,668.73,0.024826444761160582,close>prev_high+wr>-30
2025-12-17,2025-12-17,671.4,2025-12-19,2025-12-19,680.59,0.01368781650283002,wr>-30
2025-12-31,2025-12-31,681.92,2026-01-05,2026-01-05,687.72,0.00850539652745197,close>prev_high+wr>-30
2026-01-20,2026-01-20,677.58,2026-01-21,2026-01-21,685.4,0.011541072640868899,close>prev_high+wr>-30
2026-02-12,2026-02-12,681.27,2026-02-18,2026-02-18,686.29,0.0073685910138416855,close>prev_high+wr>-30
2026-03-12,2026-03-12,666.06,2026-03-31,2026-03-31,650.34,-0.023601477344383226,close>prev_high+wr>-30
2026-06-03,2026-06-03,754.24,2026-06-04,2026-06-04,757.09,0.0037786380992788082,wr>-30
2026-06-05,2026-06-05,737.55,2026-06-11,2026-06-11,737.76,0.0002847264592231724,wr>-30
2026-06-16,2026-06-16,750.33,2026-06-29,2026-06-29,741.0,-0.012434528807324874,close>prev_high+wr>-30
2026-07-29,2026-07-29,729.46,2026-07-30,2026-07-30,741.69,0.016765826775971382,wr>-30
2026-08-17,2026-08-17,772.67,2026-08-25,2026-08-25,765.91,-0.008748883740794855,close>prev_high+wr>-30
