trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,avg_position_weight,ending_equity,hold_total_return,hold_cagr,hold_sharpe,hold_max_drawdown,hold_calmar,hold_ending_100k,period,start,end
60,0.7333333333333333,3.7708558959294476,0.05371744176706285,0.049291542586719195,6.68796397264447,0.4058500459495018,1.2256332113112305,-0.2519018262394842,1.6111437221723766,0.10198675496688742,0.85,768796.397264447,3.429392012559358,0.28217018581360476,0.7464359920131075,-0.8410741197424305,0.3354878948124289,442939.2012559358,IS,2016-09-06,2022-09-02
24,0.6666666666666666,2.985074132523126,0.03291095802983922,0.0111987880376484,0.917629620261603,0.3863340208418049,1.1188866096253278,-0.14368215559743003,2.6888100281863747,0.13972055888223553,0.8333333333333334,191762.9620261603,1.4210950080515299,0.5583509752136104,0.9443104443328129,-0.6177285318559557,0.9038775876776385,242109.500805153,Validation,2022-09-06,2024-09-03
13,0.9230769230769231,137.64614270040164,0.08624608612254138,0.0629139072847682,1.7058071431814037,0.6454946186732937,1.4869175064185975,-0.16459807446931918,3.921641372503497,0.06560636182902585,0.8846153846153846,270580.71431814035,2.8706270627062707,0.9683030224939797,1.1697948955545325,-0.7978931896129349,1.2135747429599095,387062.70627062704,OOS,2024-09-04,2026-09-04
