strategy,period,trade_id,entry_signal_date,entry_date,entry_price,entry_wr3,entry_cci4,entry_adx30,exit_signal_date,exit_date,exit_price,exit_reason,terminal_close,shares,return_fraction,pnl_dollars,equity_before,equity_after,holding_calendar_days,holding_trading_sessions
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,1,2016-09-09,2016-09-12,2.349167,-100.0,-133.33333333333334,19.440623549116424,2016-09-14,2016-09-15,2.483333,WR3_GT_MINUS30,False,42568.280586267385,0.05711215933137148,5711.215933137151,100000.0,105711.21593313715,3,3
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,2,2016-09-26,2016-09-27,2.590833,-90.71541010472755,-86.20745057340501,16.229003124318577,2016-09-27,2016-09-28,2.676875,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,40802.01847557799,0.033210168312662436,3510.6872736756777,105711.21593313715,109221.90320681283,1,1
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,3,2016-10-11,2016-10-12,2.602083,-78.81784755801982,-117.31008177692757,13.991069761553222,2016-10-18,2016-10-19,2.612292,CLOSE_GT_PRIOR_HIGH,False,41974.79604102284,0.003923395218369263,428.52069278281124,109221.90320681283,109650.42389959564,7,5
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,4,2016-10-27,2016-10-28,2.590417,-91.17651429590451,-87.86846035921396,10.960173853869444,2016-11-07,2016-11-08,2.5,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,42329.25583008282,-0.03490441886383544,-3827.284324388602,109650.42389959564,105823.13957520704,11,7
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,5,2016-11-14,2016-11-15,2.445,-90.39970791121061,-101.14877253527223,12.434282012379168,2016-11-15,2016-11-16,2.457292,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,43281.44767902129,0.0050274028629857526,532.0155548705225,105823.13957520704,106355.15513007756,1,1
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,6,2016-11-30,2016-12-01,2.570417,-89.6811176179238,-133.3333333333325,10.119306638563177,2016-12-05,2016-12-06,2.5275,CLOSE_GT_PRIOR_HIGH,False,41376.61520682347,-0.016696512667010888,-1775.7601948312367,106355.15513007756,104579.39493524632,5,3
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,7,2016-12-16,2016-12-19,2.738542,-83.88556291390738,-109.73840331829489,9.331652450090516,2016-12-20,2016-12-21,2.794792,WR3_GT_MINUS30,False,38187.98285191402,0.02054012682661077,2148.07403542017,104579.39493524632,106727.4689706665,2,2
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,8,2016-12-29,2016-12-30,2.746042,-83.72351694915258,-104.34965173716058,9.051669872756372,2017-01-04,2017-01-05,2.75875,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,38865.927385912706,0.004627751505621447,493.90820522018475,106727.4689706665,107221.37717588668,6,3
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,9,2017-07-03,2017-07-05,3.98875,-96.71233237004664,-94.85814727745822,18.991818259523942,2017-07-07,2017-07-10,4.097917,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,26880.946957289045,0.027368724537762512,2934.5123364863684,107221.37717588668,110155.88951237305,5,3
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,10,2017-08-10,2017-08-11,4.378333,-97.56789704928194,-133.33333333333266,15.303514868093352,2017-08-14,2017-08-15,4.655833,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,25159.32194110705,0.06338028651543892,6981.711838657226,110155.88951237305,117137.60135103027,4,2
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,11,2017-08-17,2017-08-18,4.3825,-99.76340806003128,-133.33333333333292,14.062125209409938,2017-08-22,2017-08-23,4.471667,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,26728.48861403999,0.020346149458071894,2383.299144248085,117137.60135103027,119520.90049527836,5,3
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,12,2017-09-08,2017-09-11,4.73625,-90.1222001815942,-92.77701796818613,9.771500751735038,2017-09-11,2017-09-12,4.825,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,25235.34452262409,0.018738453417788348,2239.6368263828917,119520.90049527836,121760.53732166125,1,1
IS_SELECTED_WR3_CCI4_ADX30,FULL_10Y,13,2017-09-21,2017-09-22,4.627083,-76.12147501136275,-116.26237806243148,7.928689887513501,2017-09-27,2017-09-28,4.635833,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,26314.751069228983,0.0018910402082694677,230.2540718557575,121760.53732166125,121990.791393517,6,4
