strategy,period,trade_id,entry_signal_date,entry_date,entry_price,entry_wr3,entry_cci4,entry_adx30,exit_signal_date,exit_date,exit_price,exit_reason,terminal_close,shares,return_fraction,pnl_dollars,equity_before,equity_after,holding_calendar_days,holding_trading_sessions
FROZEN_WR3_CCI4_BASELINE,IS,1,2016-09-09,2016-09-12,2.349167,-100.0,-133.33333333333334,19.440623549116424,2016-09-14,2016-09-15,2.483333,WR3_GT_MINUS30,False,42568.280586267385,0.05711215933137148,5711.215933137151,100000.0,105711.21593313715,3,3
FROZEN_WR3_CCI4_BASELINE,IS,2,2016-09-26,2016-09-27,2.590833,-90.71541010472755,-86.20745057340501,16.229003124318577,2016-09-27,2016-09-28,2.676875,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,40802.01847557799,0.033210168312662436,3510.6872736756777,105711.21593313715,109221.90320681283,1,1
FROZEN_WR3_CCI4_BASELINE,IS,3,2016-10-11,2016-10-12,2.602083,-78.81784755801982,-117.31008177692757,13.991069761553222,2016-10-18,2016-10-19,2.612292,CLOSE_GT_PRIOR_HIGH,False,41974.79604102284,0.003923395218369263,428.52069278281124,109221.90320681283,109650.42389959564,7,5
FROZEN_WR3_CCI4_BASELINE,IS,4,2016-10-27,2016-10-28,2.590417,-91.17651429590451,-87.86846035921396,10.960173853869444,2016-11-07,2016-11-08,2.5,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,42329.25583008282,-0.03490441886383544,-3827.284324388602,109650.42389959564,105823.13957520704,11,7
FROZEN_WR3_CCI4_BASELINE,IS,5,2016-11-14,2016-11-15,2.445,-90.39970791121061,-101.14877253527223,12.434282012379168,2016-11-15,2016-11-16,2.457292,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,43281.44767902129,0.0050274028629857526,532.0155548705225,105823.13957520704,106355.15513007756,1,1
FROZEN_WR3_CCI4_BASELINE,IS,6,2016-11-30,2016-12-01,2.570417,-89.6811176179238,-133.3333333333325,10.119306638563177,2016-12-05,2016-12-06,2.5275,CLOSE_GT_PRIOR_HIGH,False,41376.61520682347,-0.016696512667010888,-1775.7601948312367,106355.15513007756,104579.39493524632,5,3
FROZEN_WR3_CCI4_BASELINE,IS,7,2016-12-16,2016-12-19,2.738542,-83.88556291390738,-109.73840331829489,9.331652450090516,2016-12-20,2016-12-21,2.794792,WR3_GT_MINUS30,False,38187.98285191402,0.02054012682661077,2148.07403542017,104579.39493524632,106727.4689706665,2,2
FROZEN_WR3_CCI4_BASELINE,IS,8,2016-12-29,2016-12-30,2.746042,-83.72351694915258,-104.34965173716058,9.051669872756372,2017-01-04,2017-01-05,2.75875,CLOSE_GT_PRIOR_HIGH|WR3_GT_MINUS30,False,38865.927385912706,0.004627751505621447,493.90820522018475,106727.4689706665,107221.37717588668,6,3
FROZEN_WR3_CCI4_BASELINE,IS,9,2017-03-21,2017-03-22,3.475417,-96.25483146067418,-133.33333333333292,26.53434509789507,2017-03-27,2017-03-28,3.550833,WR3_GT_MINUS30,False,30851.37040415198,0.021699842062117947,2326.6869503995113,107221.37717588668,109548.06412628619,6,4
FROZEN_WR3_CCI4_BASELINE,IS,10,2017-04-06,2017-04-07,3.6425,-82.15293405764089,-128.952761650966,23.70898484991806,2017-04-17,2017-04-18,3.559583,WR3_GT_MINUS30,False,30074.966129385364,-0.02276376115305423,-2493.7259665502497,109548.06412628619,107054.33815973594,11,6
